trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
57,0,57,0,119.83711880026385,,119.77997229993343,10,119.83711880026385,119.83711880026385,0.029440300073474646,121.32559340028092,[-0.5],[0.24],[1],[0],[0],[1.5164030999876559],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
58,0,58,0,121.35329530015588,,121.32831569993868,5,121.35329530015588,121.35329530015588,0.014973399695008993,123.21036050003022,[0.19166666666666668],[0.37666666666666665],[1],[0],[0],[1.8673542998731136],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
59,0,59,0,123.2524244999513,,123.21493649994954,5,123.2524244999513,123.2524244999513,0.015029000118374825,124.93958000000566,[-0.12],[0.38333333333333336],[1],[0],[0],[1.7104982999153435],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
60,0,60,0,124.96800830028951,,124.94244709983468,5,124.96800830028951,124.96800830028951,0.013746900018304586,126.56926400028169,[-0.09666666666666666],[0.3933333333333333],[1],[0],[0],[1.6133206002414227],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
61,0,61,0,126.59837910020724,,126.57186979986727,5,126.59837910020724,126.59837910020724,0.012677500024437904,128.82009130017832,[0.4666666666666667],[-0.08666666666666667],[1],[0],[0],[2.235744500067085],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
62,0,62,0,128.8653910998255,,128.82290189992636,10,128.8653910998255,128.8653910998255,0.027544300071895123,131.10281410021707,[-0.46166666666666667],[0.21833333333333332],[1],[0],[0],[2.25268549984321],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
63,0,63,0,131.13075899984688,,131.10552009986714,5,131.13075899984688,131.13075899984688,0.014157600235193968,132.68675650004297,[-0.095],[0.395],[1],[0],[0],[1.5672917999327183],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
64,0,64,0,132.7310258001089,,132.6895322999917,5,132.7310258001089,132.7310258001089,0.016927899792790413,135.00012180022895,[-0.36666666666666664],[-0.37166666666666665],[1],[0],[0],[2.293869800399989],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
65,0,65,0,135.02847609994933,,135.00315000023693,5,135.02847609994933,135.02847609994933,0.013817899860441685,136.66614310024306,[-0.43166666666666664],[-0.20333333333333334],[1],[0],[0],[1.6493493998423219],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
66,0,66,0,136.7109449999407,,136.67206950020045,5,136.7109449999407,136.7109449999407,0.01505909999832511,137.96583190001547,[-0.40166666666666667],[-0.27166666666666667],[1],[0],[0],[1.2796101998537779],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
67,0,67,0,138.010483100079,,137.96991360001266,10,138.010483100079,138.010483100079,0.027489000000059605,139.54609260009602,[-0.075],[0.155],[1],[0],[0],[1.549085899721831],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
68,0,68,0,139.59330420009792,,139.54878329997882,10,139.59330420009792,139.59330420009792,0.029944199603050947,141.09688730025664,[-0.4666666666666667],[0.32166666666666666],[1],[0],[0],[1.5183742996305227],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
69,0,69,0,141.14201339986175,,141.09955869987607,10,141.14201339986175,141.14201339986175,0.025530400220304728,143.02934319991618,[0.0016666666666666668],[0.44],[1],[0],[0],[1.904486000072211],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
70,0,70,0,143.0907538998872,,143.03353030001745,10,143.0907538998872,143.0907538998872,0.028847400099039078,145.1610655002296,[0.22333333333333333],[-0.06],[1],[0],[0],[2.099162200000137],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
71,0,71,0,145.2229494000785,,145.1644717999734,10,145.2229494000785,145.2229494000785,0.036076999735087156,146.66059700027108,[0.3233333333333333],[0.065],[1],[0],[0],[1.4609413999132812],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
72,0,72,0,146.6892527998425,,146.66345670027658,5,146.6892527998425,146.6892527998425,0.013254800345748663,148.14407919999212,[0.041666666666666664],[-0.041666666666666664],[1],[0],[0],[1.4676653002388775],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
73,0,73,0,148.2036528000608,,148.14849259983748,10,148.2036528000608,148.2036528000608,0.031059700064361095,150.043018899858,[0.37833333333333335],[-0.2833333333333333],[1],[0],[0],[1.8640478001907468],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
74,0,74,0,150.08726599998772,,150.04582410026342,5,150.08726599998772,150.08726599998772,0.01358299981802702,152.2922899001278,[0.05333333333333334],[0.16333333333333333],[1],[0],[0],[2.233095800038427],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
75,0,75,0,152.32027480006218,,152.29487060010433,5,152.32027480006218,152.32027480006218,0.013850400224328041,154.97491150023416,[0.13],[-0.315],[1],[0],[0],[2.6663361000828445],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
76,0,76,0,155.018132600002,,154.97774200001732,10,155.018132600002,155.018132600002,0.028659299947321415,157.42277600010857,[0.29333333333333333],[-0.2783333333333333],[1],[0],[0],[2.416689499747008],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
77,0,77,0,157.45116289984435,,157.42544869985431,5,157.45116289984435,157.45116289984435,0.014538099989295006,158.15569930011407,[0.29333333333333333],[-0.2783333333333333],[1],[0],[0],[0.715903399977833],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
